,tweet,category,class
125, I could go for a fat ass bitch on my lap same,offensive_lang,1
126, 17 missed calls Das yo P O bitch twitter finna be screamn FreeMoneyMelle,offensive_lang,1
127, Ya side bitch gotta know it's rules to this shit anybody ask you my cousin from jersey thinkin bout moving lmmfao ,offensive_lang,1
128, 3 Amo los pies fuck yeah,offensive_lang,1
129, These hoes be thinking Meat won't slap they ass ainna bruh,offensive_lang,1
130, Yall bitches wit no edges be doing the most talking ,offensive_lang,1
131, Yall still going trick or treating this year or nah hell yeah ima be da sweet tooth bandit steal bitches bags n shit,offensive_lang,1
132, I wanna have sex with my mom fuck her right in that pussy where I came from damn you got hacked like fuck,offensive_lang,1
133, If she kiss u with her eyes open watch that bitch lmfao,offensive_lang,1
134, You a woulda coulda shoulda ass hoe ,offensive_lang,1
135, Happy Bday Bitch Ass Nigga that bitch roll up ,offensive_lang,1
136, used to send that bitch up ,offensive_lang,1
137, Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses ,offensive_lang,1
138, nigga you know we hacky sack hoes nah I throw no look passes lmao,offensive_lang,1
139, Glad I'm getting outta Atlanta Nothing but a bunch of niggas in outta jail dumb bitches with mad kids fuckin em ,offensive_lang,1
140, This isn't ghetto it's smart I'm doing this idc,neither,2
141, I would wife a hoe only cuz we wouldn't care that we cheating in each other why force the relationship in the first place ,offensive_lang,1
142, Being single isn't an excuse to be a hoe ,offensive_lang,1
143, White boy power bitch black power bitch,offensive_lang,1
144, Lets get drunk get blowed spit shit spark blunts fuck hoes Bro white dudes have no chill ,offensive_lang,1
145, bitch where u been Around the world and back Where you been ,offensive_lang,1
146, if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off by ,offensive_lang,1
147, oomf is soooo cute But he probably has hoes on him a lot ,offensive_lang,1
148, In every cartoon theirs alway a saving these hoes lmao lmao damn captain SaveAHoe,offensive_lang,1
149, Who wants to get there nose in these bad bois then scally chav sockfetish stinking hot sox and legs,neither,2
150, I wish I was a bitch like my brother keezy ooooow I bet you do,offensive_lang,1
151, If you dressed up as a cat for Halloween you are basic or a pussy,offensive_lang,1
152, Can pornhub just get a gaming stream feature so these dumb bitches can gtfo get on it Katie 3,offensive_lang,1
153, stop being scared to choke her during sex u bitch ass niggas She ll like it Says the guy who hits women out of bed FOH,offensive_lang,1
154, ha well iguess I make them hoes loyal bro theyll never be loyal that y they hoes my nig,offensive_lang,1
155, Oh man its 5 am you off a molly ho where the fuck ya seed at fixed,offensive_lang,1
156, You're not a man if you refer to every girl as a bitch ,offensive_lang,1
157, Lmfao this cat started beating the shit out of me my nigga finally got some pussy MY NIGGA ,offensive_lang,1
158, Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line ooooow who tf said that trash ,neither,2
159, io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha,offensive_lang,1
160, naw it's my old tape new cover my upcoming mixtape is KingOfTheHill Yeah I'm waiting on that hoe Mayne ,offensive_lang,1
161, Ol dirty foot ass bitches this was too funny to me ,offensive_lang,1
162, that's where I get my yellow flags for being amazing HELL YEAH NIGGY,offensive_lang,1
163, Don't got time for bitches to be actin iffy ,offensive_lang,1
164, UCFPINKPARTY come on stay alive knights nation This is still the early bird special ComeAtMeUT,neither,2
165, These hoes ain't loyal no they ain't Smfh wonder why nobody decent wants them,offensive_lang,1
166, Bruh you studs keep thinking I'm soft as hell Ask ya girl how many times she screamed she was my bitch Oh okay STFU BYE HOE ,offensive_lang,1
167, dry pussy bitches always blame it on the condom ,offensive_lang,1
168, shut yo bitch ass up ,offensive_lang,1
169, Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back ,offensive_lang,1
170, You love these hoes more then money wats wrong these niggas ,offensive_lang,1
171, A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo sounding like me over there lol,offensive_lang,1
172, Easy cum easy hoe That's a fact ,offensive_lang,1
173, Charlie Sheen is too real major fucking respect for Charlie Sheen ,offensive_lang,1
174, Wish I had a bae You got all the hoes tho,offensive_lang,1
175, Fuck twerking bitch can you cook ,offensive_lang,1
176, bitch wtf ,offensive_lang,1
177, Shut up zoe fight me pussy for zoe I'm good man You are good ma'am Move along now,offensive_lang,1
178, Lmao fucking snake bitches em,offensive_lang,1
179, Big booty hoes everywhere sheesh damn ,offensive_lang,1
180, Stay tuned to for an update on the report that 1B will be out 8 10 weeks bum,neither,2
181, I play soccer cheat on girls and wear khaki coloured cargos haircut yes lmfao,neither,2
182, Oregon chokes every year get off the field trash ass program RFT,offensive_lang,1
183, Def not cowboy lol Terrell Owens was the best Eagle Cowboy ever dude cried like a bitch on tv over Romo,offensive_lang,1
184, LMFAOOOO I HATE BLACK PEOPLE This is why there's black people and niggers,hate_speech,0
185, How could u do this to me bitch potent,offensive_lang,1
186, a pissed lad past out I would lick his dirty soles while he slept ,neither,2
187, love frat boy w soft long soles,neither,2
188, sexy lad with hot soles and arches ,neither,2
189, nah fam I gotta cheat with the hoes depends on the female i feel,offensive_lang,1
190, I got hicks lol,neither,2
191, This new twitter is confusing the shit out of me Go back to south america bitch,offensive_lang,1
192, Toto means ass or vagina I think pussy cause toto santi is like nasty pussy,offensive_lang,1
193, but what if he actually does choose the ugly bitch over you Her ass must be fat ,offensive_lang,1
194, bitch couldn't kill my vibe if ya tried dis why i love miley ,offensive_lang,1
195, I'm tired of bitches saying I look mean nigga you big af wear tight shirts and grim everybody ,offensive_lang,1
196, 10 birds your grandkids may never see thanks to climate change Climate,neither,2
197, Stay beautiful you bitch ,offensive_lang,1
198, WutKinda r purple Ceeeleee man this gurl was jus playin on the stupid hoe track But in still shitted on sum gurls,offensive_lang,1
199, Money getting taller and bitches getting blurry ,offensive_lang,1
200, I ain't never seen a bitch so obsessed with they nigga I'm obsessed with mine ,offensive_lang,1
201, Kobe stay talking trash But let's not forget I meant to do this one Smh ,offensive_lang,1
202, At least I'm not a nigger Lmfao,hate_speech,0
203, People always asking me what I'm mixed with She a bad asian bitch lol,offensive_lang,1
204, Ariza is a snake and a coward but at least he isn't a cripple like your hero Roach lmaoo,hate_speech,0
205, Fosters home for imaginary trash WHOA CHILL that show was everything tf,neither,2
206, I am lowkey tired if you tired be quiet and go to sleep hoe ,offensive_lang,1
207, Stop bringing weird niggers into my mentions ,offensive_lang,1
208, We don't love these hoes ,offensive_lang,1
209, If yo girl cant have homeboys you a ol weak bitch ass nigga ,offensive_lang,1
210, I think worst advice I gave you was don't be a pussy and speed up lol ,offensive_lang,1
211, Quote this tweet with your favorite animal pussy,offensive_lang,1
212, I hate when strippers tell you they're dancers Hoe ballet dancers don't pop their pussy to Beethoven You a STRIPPER ,offensive_lang,1
213," Andrewbryant Poff has double vision after 2 beers
Poff Double pussy smh",offensive_lang,1
214, When bitches TWERK on the computer ME In ya in ya damn ,offensive_lang,1
215, Prince THIS is art nobody takin his bitch ,offensive_lang,1
216, 61 of welfare government aid is claimed by white people So y'all black slander is trash now ,neither,2
217, These bitches don't care they just play that role ,offensive_lang,1
218, It took a while for you to find me but I was hiding In the lime tree Iemonaids dis bitch in da wrong tree bro ,offensive_lang,1
219, Drakes new shoes that will be released by Nike Jordan Yes there's glitter on the shoes dudes a fag,hate_speech,0
220, inna di ghetto You alone lmaoo,neither,2
221, hoes Austin teach us Austin I teach u how to get curved That's all I know,neither,2
222, bitches can't cook but know how to suck dick s o to the ones that can do both ,offensive_lang,1
223, Fat hoes get chose lol,offensive_lang,1
224, hoesaintloyal well they're hoes no one expects them to be loyal,offensive_lang,1
225, ol bitch ass ,offensive_lang,1
226, Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad lmaooo,offensive_lang,1
227, Just because tony romo at the mavs game dont mean he still not a bitch lmao Fuk them cowgirls lol bitch fuck you,offensive_lang,1
228, Holy shit Freddie Highmore was in Charlie and the Chocolate Factory Me rolls on the floor laughing ,offensive_lang,1
229, I don't want to have sex with my gf because I feel like I'm using her anonymous Whata faggot,offensive_lang,1
230, One of your followers with this somebody bitch if you don't,offensive_lang,1
231, If ya bitch always bitching clearly she care Or just an annoying Bitch ,offensive_lang,1
232, These catfish hoes thinkin they slick But niggas catching on ,offensive_lang,1
233, Can't worry about a bitch that ain't worried bout me real,offensive_lang,1
234, Side hoes are for insecure niggas that can't handle a real one ,offensive_lang,1
235, Lmao This bitch come scooting in the tent like she about to fuck some shit up ,offensive_lang,1
236, My cousin said he share hoes with his brothers He said sharing is caring and he love his brothers ,offensive_lang,1
237, i'm hungry but ionn wanna spend my money on food Broke hoe problems ,offensive_lang,1
238, Dese hoes be LYIN to all of us nigga ,offensive_lang,1
239, oh yeah fuck that bitch,offensive_lang,1
240, Eli Manning just threw his NFL leading 27th interception of the season Lmao trash,neither,2
241, USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team he's a bitch,neither,2
242, Guess what I also have zero time for your mansplaining Adios Stfu pussy,offensive_lang,1
243, Chilling sexy scally lad,neither,2
244, I ain't sharing no bitch if you mines you mines ,offensive_lang,1
245, money only impress the simple broke bitches ,offensive_lang,1
246, Pisces will never be anybody's bitch they don't let people control or change them Rigghhht,offensive_lang,1
247, tuku ho idk blah blah blah ,neither,2
248, I'm not mad cuh hahaha suure tuku ho ita ,neither,2
249, These hoes is crazy ,offensive_lang,1
250, You ain't ever gonna be a slice bitch Kevin hart ,offensive_lang,1
251, Oomf so fuckin fine tho dam her don't be no bitch ,offensive_lang,1
252, I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter she probly sends nudes for fags,offensive_lang,1
253," NewSATQuestions
Yeah bitch yeah bitch call me _______ a Maybe
b Steve O
c Later
d Jesse Pinkman machinegunkelly",offensive_lang,1
254, Hickies in between her thighs right by her pussy Its only right,offensive_lang,1
255, Would you still love me when I'm no longer young and beautiful No Ugly monkey ass ,offensive_lang,1
256, y'all come through the front bitch I ain't coming,offensive_lang,1
257, faggot bitch ,offensive_lang,1
258, yea I'm on my iPad I don't work this Friday Let's ball this faggot up work 2 5,offensive_lang,1
259, this scally lad would get it,neither,2
260, GerrysHalloweenParty Halloween was yesterday stupid nigger,hate_speech,0
261, Chrus still supahot tho walks up to teacher with test drops test in that bitch fohead ,offensive_lang,1
262, I love eating pussy lol I never get full lol I can eat that shit forever lol and ever ,offensive_lang,1
263, No slushes hoes nasty anyway fam them hoes taste like meds ,offensive_lang,1
264, No slushes hoes nasty anyway fam ,offensive_lang,1
265, BOBBY BITCH by be getting me live as fuck hell yea i play that hoe before my workout,offensive_lang,1
266, Yo bitch is Gucci Mane My bitch a stoner ,offensive_lang,1
267, I can ride your bitch with no handle bars ,offensive_lang,1
268, And if you ain't a hoe get up out my traphoussseeeee ,offensive_lang,1
269, 15 sad TV character deaths we're still bitter over stark was the man,neither,2
270, These harbor bitches are all Party Bus hoes Lol all ,offensive_lang,1
271, pussy love it,offensive_lang,1
272, Ultraviolence video its coming you little bitch MTVHottest Lana Del Rey bitchy promo,offensive_lang,1
273, On my way to fuck your bitch LMFAO KITTYCOPTER,offensive_lang,1
274, A smuggler explains how he helped fighters along the Jihadi Highway ,neither,2
275, Aww their avis look so cute together do I gotta get Ike avi on this bitch ,offensive_lang,1
276, Its simple dont be a hoe dont worry about being exposed fight me why ,offensive_lang,1
277, whys this bitch boosting herself Her size isn't exactly the most healthy tho,offensive_lang,1
278, bet not be no bitches Kim bye ,offensive_lang,1
279, Damn near gotta protect my tweets stalkers being annoying you got that dope dick Drive these bitches loco,offensive_lang,1
280, I'm making marack my girlfriend aye b you pullin hoes just like o taught you,offensive_lang,1
281, Bruno fag boy you love me ,offensive_lang,1
282, I must be a bitch you are sike naw This why we always beefing ,offensive_lang,1
283, Down 6 1 Yankees look to rally in the bottom of the 9th RALLYCAP,neither,2
284, Don't take advantage of a nice person hoes everyjuan,offensive_lang,1
285, Happy birthday bitch nigga Thanks pal,offensive_lang,1
286, Sad knowing that most hoes won't fuck with you bc you ain't got stacks wait till friday,offensive_lang,1
287, cinco shit harder fucc nigga yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca,offensive_lang,1
288, ewww I said THAT last Sunday as in the last Sunday I was there Read it again nigs ,offensive_lang,1
289, I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back Strong Mush or Shake ,offensive_lang,1
290, My pussy still fresh something stank girls say ,offensive_lang,1
291, Ass slapping is one the greatest things Haha I slapped a girl on the ass She got mad I aint get pussy for a week,offensive_lang,1
292, yeah Texans are so much better you fucking retard I see that you're mad about this ,offensive_lang,1
293, Nd wtf is up with dark bitches with blonde PLEASE HAVE SEVERAL SEATS HOE looking like black milds out here,offensive_lang,1
294, There's a lane some bitches need to stay in the left n get right the fuck outta our face ,offensive_lang,1
295, I hate when boys deny that they have bitches smh,offensive_lang,1
296, Ya nigs out there still saying y'all don't eat butt WITH A STRAIGHT FACE ,offensive_lang,1
297, Im a boss ass bitch that needs to sit in a corner,offensive_lang,1
298, He's a hoe I can't ,offensive_lang,1
299, Me And Paul Thinkin Bout Gettin Rentals For Da Weekend oooh shit bitches betta stay out da streets,offensive_lang,1
300, bitches hold they nigga down when he get locked up but if a nigga go to college or the military it's a different story ,offensive_lang,1
301, why do my friends hate me because you a ratchet hoe ,offensive_lang,1
302, No love for these fuck niggas hoes ,offensive_lang,1
303, Hot meat sexy as fuck scally lad I would love to meet him and his trainers ,offensive_lang,1
304, Sniff perved up scally lad fuck yeah ,offensive_lang,1
305, These bitches love Sosa ,offensive_lang,1
306, I legit watched it for about 30 or 40 seconds SO DID I WTF prob cause were retarded smh,offensive_lang,1
307, What should I name my cat ideas Mr pussy,offensive_lang,1
308, woof woof Sexy thug boy scally ,offensive_lang,1
309, u see the damn phone ringing when you married bitches makes demands You haven't called me,offensive_lang,1
310, Tevin is my favorite sophomore I think he's so funny Hes really not Lmaoo hes a little hoe,offensive_lang,1
311, 10 sex positions this what u call fucking the soul outta bitch ,offensive_lang,1
312, is bored supposed to be cute you faggot Sometimes,hate_speech,0
313, One mans trash is another mans treasure ,neither,2
314, I don't got no type Bad bitches is the only thing I like Iongotnotype,offensive_lang,1
315, lassen cc the coach wants me i feel it youll get more my nig no doubt,hate_speech,0
316," god teeth gold chain
white bitches cocaine ",offensive_lang,1
317, Its me hoe its me hoe shhhhh,offensive_lang,1
318, In D C we call them rollers in Chiraq we call them thots All across America they have been known as a hoe ,offensive_lang,1
319, I'm gonna miss that bitch of a bus driver no you won't Don't lie,offensive_lang,1
320, hate when bitches try and put you in the friendzone bitch I'm tryin to score put me in the endzone ON MY SOUL ,offensive_lang,1
321, Ashley Young has tried to deny that bird s landed in his mouth hahaha,neither,2
322, yall both gimped up Ain't tht a bitch huh lol,offensive_lang,1
323, Take me for a ride woof woof,neither,2
324, oh my god I love Victoria Mitchell all my bitches love me,offensive_lang,1
325, That long distance shit wack I knew the bitch was cheating uh oh,offensive_lang,1
326, HE'S DOING IT RIGHT no bitches smh,offensive_lang,1
327, they BAN dat pussy for life he gotta pay 2 5 millon dollar fine ,offensive_lang,1
328, Roses are red and violets are blue and niggers are black you know that's true ,offensive_lang,1
329, Sitting on my window sill window open bird tries to fly in Smacked it ProtectTheAnimals ,neither,2
330, But a nigga gon be a nigga be a nigga You sound fuckin retarded,offensive_lang,1
331, a video an entire media will likely mock i am such a crybaby,neither,2
332, I'm not even shy stfu kikis mom Hi angelique Angelique Smiles Dips cracker in soup ,offensive_lang,1
333, Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville Smh ,offensive_lang,1
334, Karma is a bitch Damn GodProtectsHisAngels sips tea ,offensive_lang,1
335, Fuckin hot gym pussy fuck yeah,offensive_lang,1
336, Jihadi patron Hajjaj al Ajmi is arrested at Kuwait airport ,neither,2
337, You can call me Fireman cause I turn the hoes on ,offensive_lang,1
338, I could never have a bby by a lil dick Thts y I got a abortion by the last bitch oh My God,offensive_lang,1
339, Watch women try to argue with me like they have a dick and actually fucked some pussy before I hate when bitches do that,offensive_lang,1
340, And smoke weed in public fuck cops man do what you wanna do they don't own you run if they come are you retarded ,offensive_lang,1
341, tweety bird tho ,neither,2
342, my pussy sweet like watermelon Thotermelon,offensive_lang,1
343, When twitter rappers dm me their trash links ,neither,2
344, loud bitches annoy me ,offensive_lang,1
345, Eventually every bitch turns into that hoe Truuu,offensive_lang,1
346, I swear if oomf try talking to me tomorrow pussy,offensive_lang,1
347, You bitches be pretending to be TF crazy You ain't never lied ,offensive_lang,1
348, k bye hoe um bye ,offensive_lang,1
349, Jackies a retard blondeproblems At least I can make a grilled cheese ,hate_speech,0
350, ima keep on giving these pussy ass niggas ah reason to hate ,offensive_lang,1
351, Photo he is in sole heaven,neither,2
352, Stacey Dash won baddest bitch evaaaa,hate_speech,0
353, Side bitch Sunday ,offensive_lang,1
354, Facts what baldheaded bitch made this shit Lmao ,offensive_lang,1
355, Fuck wit us and then we tweakin hoe shmurda ,offensive_lang,1
356, We actin like it's the 7th day spook,neither,2
357, I'll break that lil bitch neck and won't even feel sorry about it Savage,offensive_lang,1
358, This is so fucking hot scally sneakersex sockfetish sniff trainersex love me some kinky scallies,offensive_lang,1
359, Y'all dumb ass niggas be so pressed to have hoes Y'all weak as fuck as fuck weed over hoes oreos too ,offensive_lang,1
360, I can turn yo bitch into a eaterrrrrrrrr ,offensive_lang,1
361, I don't trust dese hoes Nikki told 51st where I stay at all my fans screen shot ASAP we finna come to Chiraq and shoot sumn,offensive_lang,1
362, Aye yall ima tryout for the bowling team frfr tryouts passed tho no theres two more retard,offensive_lang,1
363, Now u got what u want bitch Enjoy it now this is a crazy party I would love to attend ,offensive_lang,1
364, colored contacts in your eyes blinders on mine cause i can't see you at all Lmao,neither,2
365, Facts Only the dudes with hoes say they don't got hoes ,offensive_lang,1
366, I'm rea start smacking bitches period Bluffin at its best,offensive_lang,1
367, Lifes a bitch and then you die Thats why we get high cause you neva know when you're gonna go my sister is perfect ,offensive_lang,1
368, One of us is on drugs and its me but you're still wrong hahahahahahah im a bitch sometimes ,offensive_lang,1
369, I'm feeling pretty fuckin ghetto Smh,offensive_lang,1
370, swears I'm 1 man easily easily behind Austin nip ,neither,2
371, This is a true ride or die bitch what the fuck hahahahah,offensive_lang,1
372, H G Wells and Charlie Chaplin History Photography,neither,2
373, All I see is Bruno's bitch ass on my twitter now wtf Bruno's all that she sees Drake voice ,offensive_lang,1
374, I'm about to cool faggot chill tf is cool nigga,offensive_lang,1
375, I'm so sure bitch frfr tf,offensive_lang,1
376, Twitter is not a source of news broadcast you fucking retards it is when nbc abc cnn Fox etc are all keeping quiet ,offensive_lang,1
377, Got a couple bitches saying they know me But I ma let the money talk for me AND I'M LIKE WWYD,offensive_lang,1
378, Grudges are for weirdos and bitches,offensive_lang,1
379, I told Mariam to but cigarettes for her birthday You also called me trash rn,neither,2
380, brownies tonight what kind ,neither,2
381, No text back I don't give a fuck I'll text another bitch damn someone is hurt lol,offensive_lang,1
382, Ummmmmm okay you got hoes from left to right do yah thang ,offensive_lang,1
383, using y mx b to find the slope of that ass ,offensive_lang,1
384, Fit lads Nice gear these scally lads n trainers would get it,neither,2
385, Hell yeah bro fuck yeah sexy scally lad in hot gear,offensive_lang,1
386, Helping out a mate I love scally play Fuck yeah,offensive_lang,1
387, Lads being Lads fuck yeah I love scally lad action Hot trainers too ,offensive_lang,1
388, Next year bitches is gonna be like you gotta promise you won't expose me ,offensive_lang,1
